ticker,date,bvps,capex,consolinc,de,equity,equityusd,fcf,ev,gp,liabilities,marketcap,pb,price,roe,payoutratio,netinc,netinccmnusd,sps,revenueusd,ebitdausd,ebitdamargin,ebit
HOLX,9/30/2017,9.952,-107600000,755500000,1.866,2784700000,2784700000,-99300000,12947871578,1621000000,5194900000,10290571578,3.695,36.69,0.283,0,755500000,755500000,10.932,3058800000,1832900000,0.599,1383700000
HOLX,12/30/2017,11.537,-104700000,1075700000,1.52,3194000000,3194000000,-96900000,14592071677,1640700000,4854300000,11785471677,3.69,42.75,0.37,0,1075700000,1075700000,11.253,3115500000,1819000000,0.584,1363900000
HOLX,3/31/2018,8.825,-106600000,-132500000,1.958,2445600000,2445600000,-85200000,13020425457,1667100000,4788800000,10331125457,4.224,37.36,-0.047,0,-132500000,-132500000,11.509,3189400000,186200000,0.058,-293300000
HOLX,6/30/2018,8.949,-107100000,-79100000,1.895,2449500000,2449500000,560000000,13612184865,1693500000,4641900000,10852184865,4.43,39.75,-0.029,0,-79100000,-79100000,11.717,3207300000,214600000,0.067,-267100000
HOLX,9/29/2018,8.829,-105600000,-111300000,1.977,2428800000,2428800000,627300000,13846391033,1696700000,4802100000,11151591033,4.591,40.98,-0.042,0,-111300000,-111300000,11.697,3217900000,210400000,0.065,-269900000
HOLX,12/29/2018,8.849,-106400000,-419400000,1.895,2394400000,2394400000,562000000,14358860066,1706200000,4537100000,11698660066,4.886,40.45,-0.173,0,-419400000,-419400000,12.038,3257400000,211600000,0.065,-266300000
HOLX,3/30/2019,8.022,-108700000,-10600000,2.021,2159800000,2159800000,595800000,16938034723,1333500000,4365500000,14099634723,6.528,48.4,-0.004,0,-10600000,-10600000,12.207,3286500000,542900000,0.165,66900000
HOLX,6/29/2019,8.242,-114300000,-29600000,1.943,2216500000,2216500000,519900000,15602967627,1342300000,4305900000,12871767627,5.807,48.02,-0.013,0,-29600000,-29600000,12.326,3314900000,545300000,0.164,76500000
HOLX,9/28/2019,7.853,-113600000,-203600000,2.045,2115700000,2115700000,535900000,15908155671,1170900000,4326400000,13261055671,6.268,49.61,-0.092,0,-203600000,-203600000,12.499,3367300000,346200000,0.103,-116900000
HOLX,12/28/2019,8.402,-122500000,83600000,1.801,2250800000,2250800000,536300000,16514293720,1170500000,4054200000,14040093720,6.238,52.36,0.038,0,83900000,83900000,12.644,3387200000,311800000,0.092,-126900000
HOLX,3/28/2020,7.925,-124800000,451000000,2.268,2086100000,2086100000,518200000,11478824919,1523900000,4730600000,8757424919,4.198,33.26,0.209,0,452800000,452800000,12.631,3324900000,758500000,0.228,343700000
HOLX,6/27/2020,8.678,-129500000,493500000,2.015,2255100000,2255100000,572800000,16594967887,1545200000,4544500000,13819167887,6.128,53.52,0.228,0,496800000,496800000,12.681,3295400000,786700000,0.239,391600000
HOLX,9/26/2020,10.297,-156400000,1110500000,1.659,2705200000,2705200000,740200000,19238000323,2227500000,4488500000,16665700323,6.161,64.35,0.48,0,1115200000,1115200000,14.374,3776400000,1499100000,0.397,1123100000
HOLX,12/26/2020,12.637,-169700000,1378200000,1.31,3267900000,3267900000,1263000000,21573713998,2974100000,4281700000,19216613998,5.88,74.77,0.537,0,1383500000,1383500000,17.539,4535700000,2228300000,0.491,1853900000
HOLX,3/27/2021,14.68,-190400000,1902800000,1.12,3794400000,3794400000,1676800000,20832028769,3664100000,4249000000,18917528769,4.986,73.42,0.635,0,1907100000,1907100000,20.572,5317200000,2880400000,0.542,2504500000
HOLX,6/26/2021,15.131,-198800000,2034500000,1.216,3877100000,3877100000,2108200000,18840394149,3899600000,4713500000,16883194149,4.355,65.89,0.597,0,2037600000,2037600000,22.1,5662600000,3050000000,0.539,2666600000
HOLX,9/25/2021,16.412,-162700000,1869700000,1.114,4218600000,4218600000,2167700000,21700415511,3795800000,4701300000,19386715511,4.596,76.48,0.494,0,1871500000,1871500000,21.912,5632300000,2863400000,0.508,2456500000
HOLX,12/25/2021,17.827,-153500000,1715500000,1.055,4519100000,4519100000,2091100000,21019530667,3601800000,4766000000,19138130667,4.235,76.12,0.418,0,1716300000,1716300000,21.671,5493600000,2664700000,0.485,2242600000
HOLX,3/26/2022,19.051,-154900000,1551800000,0.985,4792700000,4792700000,2599700000,20683392022,3462600000,4721800000,19011292022,3.967,76.05,0.357,0,1552100000,1552100000,21.432,5391700000,2470300000,0.458,2037300000
HOLX,6/25/2022,19.931,-137200000,1512100000,0.872,4997900000,4997900000,2285300000,18490890500,3310800000,4359500000,17688590500,3.539,70.93,0.326,0,1512100000,1512100000,20.841,5226100000,2390300000,0.457,1949000000
